Qu'appelle-t-on univers d'une expérience aléatoire ?;L'univers est l'ensemble de toutes les issues possibles.
Qu'est-ce que la loi conjointe du couple de variables aléatoires \((X, Y)\) ?;C'est la donnée de l'ensemble image \(X(\Omega) \times Y(\Omega)\) et des valeurs de \(P((X = x) \cap (Y = y))\) pour tout \(x \in X(\Omega)\) et tout \(y \in Y(\Omega)\).
Dans le cadre d'un couple \((X, Y)\), que sont les lois marginales ?;La loi de \(X\) est la première loi marginale, et la loi de \(Y\) est la deuxième loi marginale.
Soit \(A\) un événement de probabilité non nulle. Qu'est-ce que la loi de \(Y\) sachant \(A\) ?;C'est la donnée de toutes les probabilités conditionnelles \(P_A(Y = y)\) pour tout \(y \in Y(\Omega)\).
Comment obtient-on la loi de \(g(X, Y)\) à partir de la loi conjointe de \((X, Y)\) ?;\(P(g(X, Y)=z)=\sum_{(x, y) \in X(\Omega) \times Y(\Omega), \text{tq } g(x, y)=z} P((X=x) \cap(Y=y))\).
Quand dit-on que deux variables aléatoires \(X\) et \(Y\) sont indépendantes ?;Si pour toute partie \(A \subset X(\Omega)\) et \(B \subset Y(\Omega)\), \(P((X \in A) \cap(Y \in B))=P(X \in A) P(Y \in B)\).
Quelle est la caractérisation pratique de l'indépendance de deux variables aléatoires \(X\) et \(Y\) sur un univers fini ?;\(\forall x \in X(\Omega), \forall y \in Y(\Omega), P((X=x) \cap(Y=y))=P(X=x) P(Y=y)\).
Soit \(X\) et \(Y\) deux variables aléatoires indépendantes, et \(f\) et \(g\) des fonctions. Que peut-on dire des variables \(f(X)\) et \(g(Y)\) ?;Les variables aléatoires \(f(X)\) et \(g(Y)\) sont également indépendantes.
Quand dit-on que \(n\) variables aléatoires \(X_1, \ldots, X_n\) sont mutuellement indépendantes ?;Si \(\forall (x_1, \ldots, x_n) \in X_1(\Omega) \times \cdots \times X_n(\Omega)\), \(P\left((X_1=x_1) \cap \ldots \cap (X_n=x_n)\right) = P(X_1=x_1) \ldots P(X_n=x_n)\).
Soit \(X_1, \ldots, X_n\) des variables aléatoires indépendantes suivant toutes la loi de Bernoulli \(\mathcal{B}(p)\). Quelle est la loi de la somme \(X_1+\cdots+X_n\) ?;La variable somme \(X_1+\cdots+X_n\) suit la loi binomiale de paramètres \(n\) et \(p\) (\(\mathcal{B}(n, p)\)).
Qu'énonce le Lemme des coalitions pour des variables aléatoires indépendantes \(X_1, \ldots, X_n\) ?;Si \(f\) et \(g\) sont des fonctions bien définies, les variables aléatoires de "coalition" \(f(X_1, \ldots, X_p)\) et \(g(X_{p+1}, \ldots, X_n)\) sont indépendantes.
